,Documento,Data Emissão,Emitente,CPF/CNPJ,Valor
0,Nota fiscal de Comunicação Modelo 21 708256,10/03/2017,Infoline Comunicações,00958288000101,"26,76"
1,Fatura 74541,10/03/2017,Infoline Comunicações e Informações Eletrônicas Ltda,00958288000101,"40,14"
2,Recibo do Sacado 57301,31/03/2017,Diretrans Ltda,19490812000190,"720,00"
3,Danfe 00003260,31/03/2017,Auto Posto Bandeirantes,21058508000110,"500,02"
4,Nota Fiscal de Serviços Eletrônica 2017/4,28/03/2017,Insight Consultoria Ped Eireli,24547262000139,"1.600,00"
5,Cupom Fiscal 076006,08/03/2017,Papelaria Fazza Ltda,01953452000150,"22,80"
6,Nota Fiscal- Conta de Energia Eletrica Série U 000308823,31/03/2017,Cemig Distribuição S.A.,06981180000116,"42,09"
7,Nota Fiscal 2017.00000000144,30/03/2017,W. Collor Editora Gráfica Ltda,05033125000131,"300,00"
8,Fatura 000116,28/03/2017,Estacionamento Salve Jorge Ltda,17509454000195,"2.300,00"
9,Documento auxiliar de Nota Fiscal Eletrônica 1763,08/03/2017,Teixeira e Chaves Ltda,21339965001902,"57,50"
10,Cupom Fiscal 076005,08/03/2017,Papelaria Fazza Ltda,01953452000150,"164,80"
11,Documento Auxiliar da Nota Fiscal Eletrônica 1173,16/03/2017,Disknet JF Gráfica Digital Ltda,09236769000188,"44,00"
12,Cupom Fiscal 164926,07/03/2017,Parco Papelaria,05214053001109,"52,31"
13,Fatura 1700401096287,29/03/2017,Oi Fixo,33000118000179,"245,32"
