,documento,data_emissao,emitente,cpf_cnpj,valor
0,NOTA FISCAL ELETRÔNICA - (DANFE). 000012359,2017-04-27,POSTO ROMUALDO LTDA.,66343930000156,515.81
1,NOTA FISCAL ELETRÔNICA - (DANFE). 123595,2017-04-29,IMPERIAL VEÍCULOS LTDA.,64286420000169,256.4
2,NOTA FISCAL ELETRÔNICA - (DANFE). 123596,2017-04-29,IMPERIAL VEÍCULOS LTDA.,64286420000169,299.15
3,NOTA FISCAL ELETRÔNICA DE SERVIÇO - NFS-e 201700000004974,2017-04-29,IMPERIAL VEÍCULOS LTDA.,64286420000169,31.0
4,NOTA FISCAL ELETRÔNICA DE SERVIÇO - NFS-e 201700000004975,2017-04-29,IMPERIAL VEÍCULOS LTDA.,64286420000169,240.0
5,RECIBO DE ALUGUEL. 006809/016809,2017-04-26,ALMAR IMÓVEIS.,26143271000190,362.0
6,CUPOM FISCAL /BR 099705,2017-04-18,RIBEIRO DE OLIVEIRA CIA LTDA - EPP,21562897000117,50.85
7,CUPOM FISCAL/ BR 099705,2017-04-18,RIBEIRO DE OLIVEIRA CIA LTDA - EPP,21562897000117,59.0
8,NOTA FISCAL DE SERVIÇOS DE TELECOMUNICAÇÕES. 1321998/04/2017,2017-04-19,TELEFONICA BRASIL S.A. (VIVO),02558157000910,326.11
9,NOTA FISCAL DE SERVIÇOS DE TELECOMUNICAÇÕES. 1700402510631,2017-04-27,TELEMAR NORTE E LESTE S/A.,33000118000179,219.45
10,NOTA FISCAL DE SERVIÇOS DE TELECOMUNICAÇÕES. 1700402510631,2017-04-27,TELEMAR NORTE E LESTE S/A.,33000118000179,68.7
