,documento,data_emissao,emitente,cpf_cnpj,categoria,valor
0,Fatura 000147278,2017-06-02,Infoline Comunicações e Informações Eletronicas Ltda,00958288000101,Acesso a internet de escritório para representação parlamentar,40.14
1,Nota Fiscal de Serviço de Comunicação 000780987,2017-06-02,Infoline Comunicações e Informações,00958288000101,Acesso a internet de escritório para representação parlamentar,26.76
2,Recibo 5,2017-06-04,Tendencias Comerciais em Imóveis Eireli,07697040000183,Aluguel de escritório para representação parlamentar,800.0
3,NFe 12570,2017-06-22,Posto Romualdo Ltda,66343930000156,* Combustíveis e lubrificantes de veículos utilizados no exercício do mandato legislativo (¹),1272.45
4,Recibo do Pagador 240000000008145990,2017-06-05,Cond. Ed. Rossi Rio Branco Corporate,20291262000160,Condomínio de escritório para representação parlamentar,308.77
5,NFSe 201700000000095,2017-06-22,Posto Romualdo Ltda,66343930000156,* Despesas gerais com veículos utilizados no exercício do mandato legislativo (²),80.0
6,Nota fiscal Série U1 811827,2017-06-07,Cemig Distribuição SA,06981180000116,Energia elétrica para escritório para representação parlamentar,41.73
7,Documento de Lançamento de Arrecadação do IPTU 002644/144,2017-06-05,Prefeitura de Juiz de Fora,17783192000152,IPTU e Taxas de escritório para representação parlamentar,107.92
8,Fatura de Locação 199,2017-06-25,Locadora Hermon Ltda,04569904000193,Locação de veículos utilizados no exercício do mandato legislativo,2000.0
9,NFe 3371,2017-06-19,Teixeira e Chaves Ltda,21339965001902,Material de expediente,37.9
10,Comprovante do Cliente 1317300394,2017-06-19,ECT - Empresa Brasileira de Correios e Telégrafos,34028316553110,Postagem,23.3
11,NFe 100488,2017-06-01,Set Serviços Técnicos em Informática Ltda,23393267000787,Suprimentos para equipamentos de informática,24.9
12,NFe 3414,2017-06-21,Teixeira e Chaves Ltda,21339965001902,Suprimentos para equipamentos de informática,42.9
13,Nota Fiscal de Serviços de Telecomunicação 1700405266697,2017-06-27,Telemar Norte Leste SA,33000118000179,* Telefone(s) em nome da Câmara(local e interurbano) (³),409.84
14,,,,,total,4806.77
