,documento,data_emissao,emitente,cpf_cnpj,valor
0,Nota Fiscal Eletronica 0078,2017-06-28,Posto Central LTDA,21549407000142,308.08
1,Nota Fiscal Eletronica 2212,2017-06-28,Auto Posto Juiz de Fora,20737292000157,100.0
2,Nota Fiscal Eletronica 12579,2017-06-28,Posto Rumualdo LTDA,66343930000156,100.0
3,Nota Fiscal Eletronica 758,2017-06-29,Posto Centro Choferes LTDA,21575972000184,250.01
4,Nota Fiscal Eletronica de Serviços 201700000000010,2017-06-30,Aristides Ribeiro Advogados S/C,04504649000109,3000.0
5,Cupom Fiscal 373719,2017-06-07,Descartaveis Santa Rita EPP,17559832000145,10.4
6,Nota Fiscal Eletronica 3409,2017-06-30,Getline Produtos de Informatica LTDA Jetline Cartuchos,03785499000188,15.2
7,Cupom Fiscal 103486,2017-06-20,Armarinho Domith LTDA,21612890000162,17.8
8,Nota Fiscal Eletronica 3409,2017-06-30,Getline Produtos de Informatica Jetline Cartuchos,03785499000188,20.9
9,Nota Fiscal Eletronica de Telecominicacão 0304814216,2017-06-27,Vivo,02558157000162,422.11
10,Nota fiscal de Servoço de Telecomunicação 1700405266697,2017-06-30,OI,33000118000179,181.3
