,documento,data_emissao,emitente,cpf_cnpj,categoria,valor
0,DOCUMENTO AUXILIAR DA NOTA FISCAL ELETRÔNICA 000013063,2017-10-31,POSTO ROMUALDO LTDA,66343930000156,* Combustíveis e lubrificantes de veículos utilizados no exercício do mandato legislativo (¹),878.08
1,DOCUMENTO AUXILIAR DA NOTA FISCAL ELETRÔNICA 00003910,2017-10-31,TLP COMERCIO DE COMBUSTÍVEIS LTDA,07583737000123,* Combustíveis e lubrificantes de veículos utilizados no exercício do mandato legislativo (¹),917.53
2,DOCUMENTO AUXILIAR DA NOTA FISCAL ELETRÔNICA 000.000.919,2017-10-25,A CARBONARO ÁGUA MINERAL ME,24488698000102,Copa Interna,63.0
3,DOCUMENTO AUXILIAR DA NOTA FISCAL ELETRÔNICA 4599,2017-10-27,RIBEIRO DE OLIVEIRA & CIA LTDA,21562897000117,Copa Interna,14.7
4,NOTA FISCAL ELETRÔNICA DE SERVIÇOS 201700000000635,2017-10-25,REAL CÓPIAS DE JUIZ DE FORA LTDA,04316977000173,Cópias xerográficas e similares,96.36
5,NOTA FISCAL ELETRÔNICA DE SERVIÇO 201700000000054,2017-10-31,RICARDO TEIXEIRA DE AGUIAR,66464488000116,Estacionamento (uma vaga),260.0
6,NOTA FISCAL ELETRÔNICA DE SERVIÇOS 201700000000124,2017-10-31,OLIVEIRA E MOREIRA GRÁFICA E EDITORA LTDA,04947397000184,Impressos,1525.0
7,FATURA 000144,2017-10-25,ESTACIONAMENTO SALVE JORGE LTDA-ME,17509454000195,Locação de veículos utilizados no exercício do mandato legislativo,2300.0
8,DOCUMENTO AUXILIAR DA NOTA FISCAL ELETRÔNICA 4599,2017-10-27,RIBEIRO DE OLIVEIRA & CIA LTDA,21562897000117,Material de expediente,27.55
9,DOCUMENTO AUXILIAR DA NOTA FISCAL ELETRÔNICA 4599,2017-10-27,RIBEIRO DE OLIVEIRA & CIA LTDA,21562897000117,Suprimentos para equipamentos de informática,59.0
10,NOTA FISCAL DE SERVIÇOS DE TELECOMUNICAÇÕES 00033073/092017,2017-10-20,CLARO S/A,40432544011262,Telefone Móvel,375.13
11,NOTA FISCAL DE SERVIÇOS DE TELECOMUNICAÇÕES 1700410705412,2017-10-25,OI,33000118000179,* Telefone(s) em nome da Câmara(local e interurbano) (³),180.36
12,,,,,total,6516.35
