,documento,data_emissao,emitente,cpf_cnpj,valor
0,Boleto 051,2017-10-27,Condomínio do Edifício Sulacap,26128371000147,950.0
1,Nota Fiscal Eletrônica 13058,2017-10-30,Posto Romualdo Ltda,66343930000156,991.63
2,Nota Fiscal Eletrônica 914,2017-10-25,A Carbonaro Água Mineral,24488698000102,24.0
3,Nota Fiscal-Conta de Energia Elétrica 880410,2017-10-18,Cemig Distribuição S.A.,06981180000116,85.58
4,Recibo S/Nº,2017-10-31,Condomínio Parking Saggioro,20439212000187,370.0
5,Fatura de Locação 000007,2017-10-27,Empreiteira Transtech T&D Ltda-ME,14496365000163,1800.0
6,Comprovante do Cliente 83431367,2017-10-17,Empresa Brasileira de Correios e Telégrafos,42933416000102,14.68
7,Nota Fiscal Eletrônica 1969,2017-10-26,Aloisio Costa Ferreira -ME - Infotoner,02017219000129,39.0
8,Nota Fiscal de Serviços de Telecomunicações 0237757587,2017-10-18,Telefônica Brasil S.A,02558157000162,302.2
9,Nota Fiscal de Serviços de Telecomunicações 817967584,2017-10-18,Telemar Norte Leste S/A,33000118000330,462.37
10,Nota Fiscal de Serviços de Telecomunicações 1700410705412,2017-10-31,Oi Fixo,33000118000179,122.17
