,documento,data_emissao,emitente,cpf_cnpj,categoria,valor
0,NOTA FISCAL ELETRÔNICA - DANFE. 000013409,2018-01-31,POSTO ROMUALDO LTDA.,66343930000156,* Combustíveis e lubrificantes de veículos utilizados no exercício do mandato legislativo (¹),452.13
1,CUPOM FISCAL - BR. 420323,2018-01-15,DESCARTAVEIS SANTA RITA LTDA - EPP.,17559832000145,Copa Interna,38.2
2,NOTA FISCAL ELETRÔNICA - DANFE. 000.009.455,2018-01-15,CASA DO PNEU LTDA.,17142944000104,* Despesas gerais com veículos utilizados no exercício do mandato legislativo (²),886.0
3,RECIBO DE ALUGUEL. 006809/016809,2018-01-12,ALMAR IMÓVEIS LTDA.,26143271000190,Estacionamento (uma vaga),362.0
4,NOTA FISCAL - SÉRIE:D 011376,2018-01-30,BAZAR D'LUA LTDA.,71007629000101,Material de expediente,187.5
5,NOTA FISCAL - SÉRIE:D 011377,2018-01-30,BAZAR D' LUA LTDA.,71007629000101,Material de expediente,29.7
6,NOTA FISCAL DE SERVIÇOS DE TELECOMUNICAÇÕES. 1205269/01/2018.,2018-01-17,TELEFÔNICA BRASIL S.A. - (VIVO).,02558157000910,Telefone Móvel,294.88
7,NOTA FISCAL DE SERVIÇOS DE TELECOMUNICAÇÕES. 1700413241416,2018-01-01,TELEMAR NORTE E LESTE S/A. - (OI),33000118000179,* Telefone(s) em nome da Câmara(local e interurbano) (³),52.65
8,NOTA FISCAL DE SERVIÇOS DE TELECOMUNICAÇÕES. 1700413241416,2018-01-01,TELEMAR NORTE E LESTE S/A. - (OI),33000118000179,* Telefone(s) em nome da Câmara(local e interurbano) (³),127.83
9,NOTA FISCAL DE SERVIÇOS DE TELECOMUNICAÇÕES. 170041473024,2018-01-30,TELEMAR NORTE E LESTE S/A. - (OI),33000118000179,* Telefone(s) em nome da Câmara(local e interurbano) (³),42.26
10,NOTA FISCAL DE SERVIÇOS DE TELECOMUNICAÇÕES. 170041473024,2018-01-30,TELEMAR NORTE E LESTE S/A. - (OI),33000118000179,* Telefone(s) em nome da Câmara(local e interurbano) (³),116.53
11,,,,,total,2250.41
