,Documento,Data Emissão,Emitente,CPF/CNPJ,Valor
0,Recibo 13,04/02/2018,Tendências Comerciais em Imóveis Eireli,07697040000183,"850,00"
1,NFe 13496,21/02/2018,Posto Romualdo Ltda,66343930000156,"1.096,86"
2,Recibo do Pagador 140000000010181178,06/02/2018,Cond. Ed. Rossi Rio Branco Corporate,20291262000160,"257,32"
3,NFe 7155,06/02/2018,Teixeira e Chaves Ltda,21339965001902,"16,35"
4,NFSe 201800000000242,21/02/2018,Posto Romualdo Ltda,66343930000156,"40,00"
5,Nota Fiscal série U1 007557925,06/02/2018,Cemig Distribuição SA,06981180000116,"38,43"
6,Fatura de Locação 312,28/02/2018,Locadora Hermon LTDA,04569904000193,"2.000,00"
7,NFe 7155,06/02/2018,Teixeira e Chaves Ltda,21339965001902,"53,85"
8,NFSe 201800000000189,06/02/2018,Ambiente Comunicação Ltda,09662777000196,"240,00"
9,Fatura de Registro REG03 28180686,20/02/2018,Nucleo de Informação e Coordenação do Ponto BR - Nic.br,05506560000136,"40,00"
10,Nota Fiscal de Serviços de Telecomunicação 1700415674971,26/02/2018,Telemar Norte Leste SA,33000118000179,"296,60"
