,Documento,Data Emissão,Emitente,CPF/CNPJ,Valor
0,DOCUMENTO AUXILIAR DA NOTA FISCAL ELETRÔNICA 000018530,15/02/2018,SOLAR COMUNICAÇÕES LTDA,21561725000129,"128,75"
1,DOCUMENTO AUXILIAR DA NOTA FICAL ELETRONICA 00004036,28/02/2018,TLP COMÉRCIO DE COMBUSTÍVEIS LTDA,07583737000123,"535,09"
2,DOCUMENTO AUXILIAR DA NOTA FISCAL ELETRÔNICA 000.001.107,22/02/2018,A CARBONARA ÁGUA MINERAL,24488698000102,"60,00"
3,NOTA FISCAL ELETRÔNICA DE SERVIÇOS 201800000000876,27/02/2018,REAL COPIAS DE JUIZ DE FORA LTDA,04316977000173,"108,00"
4,NOTA FISCAL ELETRÔNICA DE SERVIÇOS 201800000000075,28/02/2018,RICARDO TEIXEIRA DE AGUIAR,66464488000116,"260,00"
5,FATURA 000161,28/02/2018,ESTACIONAENTO SALVE JORGE,17509454000195,"2.300,00"
6,DOCUMENTO AUXILIAR DA NOTA FISCAL ELETRÔNICA 4844,27/02/2018,RIBEIRO DE OLIVEIRA & CIA LTDA,21562897000117,"66,30"
7,DOCUMENTO AUXILIAR DA NOTGA FISCAL ELETRÔNICA 4844,27/02/2018,RIBEIRO DE OLIVEIRA & CIA LTDA,21562897000117,"59,00"
8,NOTA FISCAL DE SERVIÇOS DE TELECOMUNICAÇÕES 00420033/012018,20/02/2018,CLARO,04206050007940,"448,54"
9,NOTA FISCAL DE SERVIÇOS DE TELECOMUNICAÇÕES 1700415674971,23/02/2018,OI,33000118000179,"161,45"
