,Documento,Data Emissão,Emitente,CPF/CNPJ,Valor
0,RECIBO DE ALUGUEL 03,16/03/2018,SOUZA LIMA ADMINISTRAÇÃO DE IMOVEIS LTDA,18343665000163,"650,00"
1,RECIBO DO PAGADOR 165913,16/03/2018,INVEST ADMINISTRATORA E CORRETORA DE IMOVEIS,20454930000122,"312,91"
2,NFS-e 201800000000196,27/03/2018,HOUSE CRIAÇÃO ESTRATEGICA LTDA - ME,23471850000173,"2.000,00"
3,RECIBO DE IPTU 02,16/03/2018,SOUZA LIMA ADMINISTRAÇÃO DE IMOVEIS LTDA,18343665000163,"151,01"
4,NFS-e 2018/39,07/03/2018,T O RIBEIRO ME,11186215000165,"220,00"
5,FATURA DE LOCAÇÃO S/N,09/03/2018,LOCAR NEW VEICULOS LTDA,08659172000183,"2.250,00"
6,COMPROVANTE DO CLIENTE 85444055,06/03/2018,ECT,86529443000190,"264,24"
7,COMPROVANTE DO CLIENTE 85523709,12/03/2018,ECT,86529443000190,"82,80"
8,COMPROVANTE DO CLIENTE 0028,19/03/2018,ECT,86529443000190,"50,40"
9,NOTA FISCAL DE SERVIÇOS DE TELECOMUNICAÇÕES 0299408599,05/03/2018,TELEFONICA DO BRASIL S/A,02558157000162,"389,99"
10,NOTA FISCAL DE SERVIÇOS DE TELECOMUNICAÇÕES 898157420,12/03/2018,OI FIXO,33000118000179,"99,99"
11,NOTA FISCAL DE SERVIÇOS DE TELECOMUNICAÇÕES 1700416853428,27/03/2018,OI FIXO,33000118000179,"317,40"
