,Documento,Data Emissão,Emitente,CPF/CNPJ,Valor
0,Cupom Fiscal 618538,19/03/2018,Posto Santa Lucia LTDA,17280959000120,"150,00"
1,Cupom Fiscal 051321,19/03/2018,J Pilate Junior & CIA LTDA,86423753000125,"150,02"
2,Cupom Fiscal 323445,23/03/2018,Posto Romualdo LTDA,66343930000156,"200,08"
3,DANFE 000013664,28/03/2018,Posto Romualdo LTDA,66343930000156,"150,02"
4,Nota Fiscal Eletrônica de Serviços 201800000000081,26/03/2018,"Alvim Soares,Junqueira e Advogados Associados",03853408000102,"1.500,00"
5,DANFE 000.001.154,23/03/2018,A Carbonaro Agua Mineral ME,24488698000102,"52,00"
6,DANFE 4914,28/03/2018,Ribeiro de Oliveira & CIA LTDA,21562897000117,"141,50"
7,Nota Fiscal de Serviços Eletrônica 201800000000933,28/03/2018,Real Copias  de juiz de fora LTDA,04316977000173,"561,60"
8,DANFE 4914,28/03/2018,Ribeiro de Oliveira & CIA LTDA,21562897000117,"226,80"
9,Nota Fiscal Eletrônica de Serviços -NFS-e 201800000000003,28/03/2018,Aloisio Costa Ferreira -me infotoner,02017219000129,"39,00"
10,Nota Fiscal de Telecomunicações 1700416853428,28/03/2018,OI FIXO,33000118000179,"257,70"
11,DANFE 000123149,14/03/2018,Atlantica Hoteis Internacional Brasil LTDA,02223966005778,"361,20"
12,Nota Fiscal de Serviços Eletrônica -NFS-e 1614,19/03/2018,NOAR TURISMO LTDA ME,18780623000190,"1.672,34"
