,Documento,Data Emissão,Emitente,CPF/CNPJ,Valor
0,NOTA FISCAL ELETRÔNICA - (DANFE) 000013919,30/05/2018,POSTO ROMUALDO LTDA.,66343930000156,"460,41"
1,NOTA FISCAL ELETRÔNICA - DANFE. 144259,09/05/2018,IMPERIAL VEÍCULOS LTDA.,64286420000169,"594,72"
2,NOTA FISCAL ELETRÔNICA DE SERVIÇO - NFS-e 201800000021968,09/05/2018,IMPERIAL VEÍCULOS LTDA.,64286420000169,"162,28"
3,NOTA FISCAL ELETRÔNICA - DANFE. 144260,09/05/2018,IMPERIAL VEÍCULOS LTDA.,64286420000169,"331,04"
4,NOTA FISCAL ELETYRÔNICA DE SERVIÇO - NFS-e 201800000021969,09/05/2018,IMPERIAL VEÍCULOS LTDA.,64286420000169,"225,96"
5,RECIBO DE ALUGUEL. 006809/016809,07/05/2018,ALMAR IMÓVEIS LTDA.,26143271000190,"362,00"
6,COMPROVANTE DO CLIENTE. 1474151563,18/05/2018,ECT-EMP. BRAS. DE CORREIOS E TELEGRAFOS.,42933416000102,"9,95"
7,COMPROVANTE DO CLIENTE. 1478468861,30/05/2018,ECT-EMP. BRAS. DE CORREIOS E TELEGRAFOS.,42933416000102,"17,90"
8,CUPOM FISCAL/BR 158910,17/05/2018,RIBEIRO DE OLIVEIRA CIA LTDA. -EPP,21562897000117,"143,00"
9,NOTA FISCAL DE SERVIÇOS DE TELECOMUNICAÇÕES. 1162717/05/2018,17/05/2018,TELEFONICA BRASIL S.A. (VIVO),02558157000910,"296,97"
10,NOTA FISCAL DE SERVIÇOS DE TELECOMUNICAÇÕES. 1700419157952,18/05/2018,TELEMAR NORTE E LESTE S/A. (OI),33000118000179,"110,15"
11,NOTA FISCAL DE SERVIÇOS DE TELECOMUNICAÇÕES. 1700419157952,18/05/2018,TELEMAR NORTE E LESTE S/A. (OI),33000118000179,"184,28"
