,Documento,Data Emissão,Emitente,CPF/CNPJ,Valor
0,Cobrança Bancária Caixa 051,31/07/2018,Condomínio do Edifício Sulacap,26128371000147,"950,00"
1,Nota Fiscal Eletrônica 14218,31/07/2018,Posto Romualdo Ltda,66343930000156,"1.394,97"
2,Nota Fiscal - Conta de Energia Elétrica 041466129,12/07/2018,Cemig Distribuição S.A.,06981180000116,"106,44"
3,Recibo S/Nº,31/07/2018,Condomínio Parking Saggioro,20439212000187,"370,00"
4,Fatura de Locação 000016,26/07/2018,Empreiteira Transtech T&D Ltda - ME,14496365000163,"1.800,00"
5,Nota Fiscal Eletrônica 5113,25/07/2018,Ribeiro de Oliveira & Cia Ltda,21562897000117,"164,80"
6,Comprovante do Cliente 87575889,31/07/2018,Empresa Brasileira de Correios e Telégrafos,34028316221037,"800,00"
7,Nota Fiscal Eletrônica 5113,25/07/2018,Ribeiro de Oliveira & Cia Ltda,21562897000117,"39,90"
8,Nota Fiscal de Serviços de Telecomunicações 0237757587,12/07/2018,Telefônica Brasil S.A.,02558157000162,"269,99"
9,Nota Fiscal de Serviços de Telecomunicações 973288409,12/07/2018,Telemar Norte Leste S/A.,33000118000330,"358,10"
10,Nota Fiscal de Serviços de Telecomunicações 1700421406453,31/07/2018,Oi Fixo,33000118000179,"104,41"
