,documento,data_emissao,emitente,cpf_cnpj,valor
0,danfe 000021604,2018-07-20,solar comunicaçoes sa,21561725000129,258.0
1,danfe 000000826,2018-07-31,posto centro choferes ltda,21575972000184,1947.54
2,nfse 210800000000373,2018-07-25,gil car mecanica de automoveis juiz de fora ltda,03249269000102,1124.0
3,nfse 201800000000094,2018-07-12,ricardo teixeira de aguiar,66464488000116,290.0
4,nfse 1468,2018-07-12,vizion gestao de negocios empresariais ltda,07979987000187,586.0
5,recibo s/n,2018-07-04,movida locaçao de veiculos s/a,07976147020609,1325.68
6,danfe 5119,2018-07-26,ribeiro de oliveira & cia ltda,21562897000117,154.3
7,danfe 5119,2018-07-26,ribeiro de oliveira & cia ltda,21562897000117,368.0
8,nota fiscal 0321261148,2018-07-10,telefonica do brasil s/a,02558157000162,149.99
9,nota fiscal 1700421406453,2018-07-30,oi fixo,33000118000179,600.57
