,documento,data_emissao,emitente,cpf_cnpj,valor
0,RECIBO DE ALUGUEL 08,2018-08-15,SOUZA LIMA ADMINISTRAÇÃO DE IMOVEIS LTDA,18343665000163,650.0
1,DANFE 000021309,2018-08-03,SOLAR COMUNICAÇÕES S/A,21561725000129,258.0
2,DANFE 000000830,2018-08-27,POSTO CENTRO CHOFERES LTDA,21575972000184,1895.49
3,RECIBO DO PAGADOR 192223,2018-08-23,INVEST  ADMINISTRATORA E CORETORA DE IMOVEIS LTDA,20454930000122,345.54
4,NOTA FISCAL CONTA DE ENERGIA ELETRICA 048784207,2018-08-09,CEMIG DISTRIBUIÇÃO S/A,06981180000116,53.25
5,RECIBO DE IPTU 07,2018-08-15,PREFEITURA DE JUIZ DE FORA LTDA,18343665000163,151.01
6,NFS-e 2018/112,2018-08-03,T O RIBEIRO ME,11186215000165,220.0
7,FATURA DE LOCAÇÃO S/N,2018-08-09,LOCAR NEW VEICULOS LTDA,08659172000183,2250.0
8,DANFE 9620,2018-08-08,TEIXEIRAS E CHAVES LTDA / FILIAL 21,21339965001902,155.6
9,NFS-e 201800000000137,2018-08-16,ALOIZIO COSTA FERREIRA,02017219000129,40.0
10,NOTA FISCAL DE SERVIÇOS DE TELECOMUNICAÇÕES 0299408599,2018-08-06,TELEFONICA BRASIL S/A,02558157000162,389.99
11,NOTA FISCAL DE SERVIÇOS DE TELECOMUNICAÇOES 993705950,2018-08-09,OI,05423963000111,101.74
12,NOTA FISCAL DE SERVIÇOS DE TELECOMUNICAÇÕES 1700422515815,2018-08-27,OI FIXO,33000118000179,320.0
