,documento,data_emissao,emitente,cpf_cnpj,categoria,valor
0,RECIBO DE ALUGUEL 09,2018-09-15,SOUZA LIMA ADMINISTRAÇÃO DE IMOVEIS LTDA,18343665000163,Aluguel de escritório para representação parlamentar,650.0
1,NOTA FISCAL CONTA DE ENERGIA ELETRICA 055974577,2018-09-11,CEMIG DISTRIBUIÇÃO S/A,06981180000116,Energia elétrica para escritório para representação parlamentar,49.87
2,RECIBO DE IPTU 8,2018-09-15,PREFEITURA DE JUIZ DE FORA,18343665000163,IPTU e Taxas de escritório para representação parlamentar,151.01
3,NFS-e 2018/126,2018-09-03,T O RIBEIRO ME,11186215000165,Locação de softwares,220.0
4,NOTA FISCAL SERIE D 002953,2018-09-27,RAFAELLY PAPELARIA LTDA,00778203000103,Material de expediente,270.5
5,NFS-e 201800000000177,2018-09-25,ALOIZIO COSTA FERREIRA,02017219000129,Suprimentos para equipamentos de informática,40.0
6,NOTA FISCAL DE SERVIÇOS DE TELECOMUNICAÇÕES 0299408599,2018-09-04,TELEFONICA DO BRASI S/A,02558157000162,Telefone Móvel,389.99
7,NOTA FISCAL DE SERVIÇOS DE TELECOMUNICAÇÕES 10211618,2018-09-04,OI,05423963000111,Telefone para escritório para representação parlamentar,98.98
8,NOTA FISCAL DE SERVIÇOS DE TELECOMUNICAÇÕES 1700423613986,2018-09-26,OI FIXO,33000118000179,* Telefone(s) em nome da Câmara(local e interurbano) (³),305.72
9,,,,,total,1870.35
