,Documento,Data Emissão,Emitente,CPF/CNPJ,Valor
0,NOTA FISCAL ELETRONICA 2676,30/10/2018,POSTO UNIVERSO LTDA,10513796000130,"996,48"
1,NOTA FISCAL ELETRONICA DE SERVIÇO 201800001000007,26/10/2018,ROCHA COUTO SOCIEDADE INDIVIDUAL DE ADVOCACIA,30189942000120,"2.800,00"
2,NOTAL FISCAL AVULSA ELETRONICA 016.707.616,03/10/2018,VALTER GRAVINA ROCHA,21274803000104,"16,00"
3,NOTA FISCAL ELETRONICA DE SERVIÇO 201800000001172,31/10/2018,IDERCOPIA LTDA,66376377000158,"90,00"
4,201800000000048 NOTA FISCAL ELETRONICA DE SERVIÇO,17/10/2018,ESTACIONAMENTO MARECHAL LTDA,16482521000162,"250,00"
5,RECIBO DE SERVIÇO 235,30/10/2018,LOC CAR SERVIÇOS LTDA,27492985000176,"1.700,00"
6,COMPROVANTE DO CLIENTE 033,31/10/2018,COMERCIAL MCP LTDA - AGF SÃO SEBASTIÃO,42878561000138,"219,46"
7,NOTA FISCAL ELETRONICA 9863,15/10/2018,TEIXEIRA E CHAVES LTDA,21339965001902,"107,70"
8,FATURA DE SERVIÇOS DE TELEFONIA 2121231516,26/10/2018,TELEFONICA BRASIL S.A,02558157000162,"395,98"
9,Nota Fiscal de Serviços de Telecomunicação 1700424703821,30/10/2018,OI FIXO,33000118000179,"311,84"
