,documento,data_emissao,emitente,cpf_cnpj,valor
0,Nota Fiscal de Serviço de Comunicação - MODELO 21 023678,2019-01-17,VIRTUAL TELECOM -EIRELI,05125915000147,65.03
1,Recibo do Pagador 14336,2019-01-21,"LOCAL LOCAÇÃO, CORRETAGEM E ADM. LTDA",17148263000145,925.56
2,Documento Auxiliar de Nota Fiscal Eletrônica - DANFE 000023462,2019-01-17,SOLAR COMUNICAÇÕES S.A,21561725000129,271.0
3,Documento Auxiliar de Nota Fiscal Eletrônica - DANFE 00000255,2019-01-02,DISTRITO COMÉRCIO DE COMBUSTÍVEIS EIRELI,22578300000195,809.42
4,Recibo do Sacado 1012120119,2019-01-17,CONDOMÍNIO DO EDIFÍCIO CENTRO EMPRESARIAL ALBER GANIME,26131714000122,420.4
5,Documento Auxiliar de Nota Fiscal Eletrônica - DANFE 000.001.706,2019-01-21,A CARBONARO ÁGUA MINERAL,24488698000102,130.0
6,Nota Fiscal - Conta de Energia Elétrica 084744878,2019-01-17,CEMIG DISTRIBUIÇÃO S.A,06981180000116,70.85
7,Nota Fiscal Eletrônica de Serviços - NFE 004477,2019-01-16,TECNEGÓCIOS SOLUÇÕES EM INFORMÁTICA EIRELI,11521613000190,199.0
8,Nota Fiscal de Telecomunicação 03049191151,2019-01-18,TELEFÔNICA BRASIL S.A,02558157000162,289.99
9,Nota Fiscal de Serviço de Telecomunicação 1700427876863,2019-01-30,TELEMAR NORTE LESTE S/A,33000118000179,127.29
10,Nota Fiscal de Serviço de Telecomunicação 1700426832955,2019-01-30,TELEMAR NORTE LESTE S/A,33000118000179,174.9
