,Documento,Data Emissão,Emitente,CPF/CNPJ,Valor
0,Nota Fiscal Eletrônica 00002033,28/01/2019,Chamonix LTDA,20447074000188,"199,70"
1,Nota Fiscal Eletrônica 00002465,29/01/2019,R.A Ribeiro Combustiveis,12941507000129,"262,41"
2,Nota Fiscal Eletrônica 000000223,29/01/2019,Posto Central LTDA,21549407000142,"370,00"
3,Nota Fiscal Eletrônica 00004879,29/01/2019,Auto Posto Imperador LTDA,25331455000110,"100,00"
4,Nota Fiscal Eletrônica de Serviço 201900000000177,31/01/2019,Estacionamento Coelho e Valle LTDA,41938937000190,"123,00"
5,Nota Fiscal Eletrônica de Serviço 201900000001660,30/01/2019,Real Copias de Juiz de Fora LTDA,04316977000173,"371,00"
6,Nota Fiscal Eletrônica 57,30/01/2019,Freire Papelaria LTDA,07403078000104,"160,90"
7,Nota Fiscal Eletrônica de Serviço 201900000000295,28/01/2019,Aloisio Costa Ferreira,02017219000129,"45,00"
8,Nota Fiscal de Serviço de Telecomunicação 0304814216,15/01/2019,Vivo,02558157000162,"399,98"
9,Nota Fiscal de Serviço de Telecomunicação 1700426832955,29/01/2019,Oi Fixo,33000118000179,"147,37"
10,Nota Fiscal de Serviço de Telecomunicaçao 1700427876863,29/01/2019,Oi Fixo,33000118000179,"79,95"
